Apocalypse,Extraordinary.
Warren,What do you see?
Apocalypse,The answer.
Charles,Oh my god.
Apocalypse,Thank you for letting me in.
Hank,"Charles. Charles, get out! Charles? Charles I have never felt power like this before."
Hank,"Charles. Charles, get out!"
Raven,What's going on? What's happening?
Hank,I think... Someone's taken over Cerebro. - They've taken control of it.
Raven,To do what?
Hank,To connect.
Apocalypse,It's always the same. And now all this. No more stones. Not more spears. No more slings. No more swords. No more weapons! No more systems! No more! No more superpowers.
Hank,Charles!
Raven,Hank!
Government Official,What the hell is going on? Who's turning the keys?
Director,The men are.
Government Official,Who agreed with the launch?
Raven,"Hank, do something!"
Hank,It won't shut down!
Government Official,We've lost contact with the Trident and Polaris subs. The Air Force is reporting the same thing.
Apocalypse,They put so much faith in their... tools and their... machines.
Government Official,"Russia, China, England, Israel, India. Everybody's got nukes in the air."
Black Official,What's the target? Where are they going?
Director,Up. Straight up.
Charles,Alex.
Alex,What?
Charles,Destroy it! Destroy everything! Destroy Cerebro! Wreak havoc.
Apocalypse,You can fire your arrows from the Tower of Babel. BUT YOU CAN NEVER STRIKE GOD!
Moira,"Charles. Charles, are you okay?"
Raven,Erik. Charles!
Hank,Alex!
Alex,"Hey! Hey, asshole!"
Apocalypse,"All will be revealed, my child."
Alex,Stop!
Hank,NO!
Peter,Wow!
Hank,Where... Where did you...?
Peter,I was looking for the Professor. I thought he lived here.
Hank,They took him away.
Student 3,She's the one.
Student 4,That's her.
Student 5,Are you sure?
Student 6,Is she going to help us?
Hank,They look up to you. Right now. They need you.
Raven,That's not what they need.
Student 7,Whoa! That's far out.
Scott,What happened? Where's Alex? Where's my brother?
Alex,I'm pretty sure I got everybody.
Hank,Alex was closest to the blast.
Scott,Alex.
Solider,"We're 1 click out. Alright, boys. This is it."
Computer,Please remain calm. Scott. Medical assistance is on the way. Please remain calm. Medical assistance is on the way. Please remain calm. Medical assistance is on the way. Please remain calm. Medical assistance is on the way.
Moira,"Hey! Moira MacTaggert, CIA! Thank God you're here!"
Raven,WAIT !
William,Fire! I want her! Him! Him! - And her!
Solider,"Yes, sir."
William,Leave the kids.
Kurt,What do we do? -
Jean,Keep quiet.
Solider,"X-Ray 7, I'm doing a final sweep on the ground. Alright, you! Are you clear? Clear!"
Solider," Pack them up. Let's go. Come on, let's move!"
Scott," Thanks, Jean. We got to help them. - Kurt, can you get us in that thing?"
Kurt, - You want to get in there? What if the soldiers see us?
Jean," Don't worry. They won't see us, trust me."
Kurt, Hold on.
